ModelAlt,Eval,Lang,SingleMulti,Average
flair,F1,German,Multi,0.62
flair,F1,German,Single,0.7363
bert,F1,German,Multi,0.72
bert,F1,German,Single,0.7527
roberta,F1,German,Multi,0.78
roberta,F1,German,Single,0.7349
flair,Precision,German,Multi,0.67
flair,Precision,German,Single,0.75895
bert,Precision,German,Multi,0.75
bert,Precision,German,Single,0.7772
roberta,Precision,German,Multi,0.78
roberta,Precision,German,Single,0.76735
flair,Recall,German,Multi,0.58
flair,Recall,German,Single,0.7149
bert,Recall,German,Multi,0.69
bert,Recall,German,Single,0.72965
roberta,Recall,German,Multi,0.77
roberta,Recall,German,Single,0.70505
flair,Accuracy,German,Multi,0.96
flair,Accuracy,German,Single,0.97075
bert,Accuracy,German,Multi,0.97
bert,Accuracy,German,Single,0.97195
roberta,Accuracy,German,Multi,0.97
roberta,Accuracy,German,Single,0.97035
flair,F1,English,Multi,0.8
flair,F1,English,Single,0.85545
bert,F1,English,Multi,0.84
bert,F1,English,Single,0.8511
roberta,F1,English,Multi,0.87
roberta,F1,English,Single,0.86135
flair,Precision,English,Multi,0.83
flair,Precision,English,Single,0.87395
bert,Precision,English,Multi,0.87
bert,Precision,English,Single,0.87885
roberta,Precision,English,Multi,0.88
roberta,Precision,English,Single,0.886
flair,Recall,English,Multi,0.77
flair,Recall,English,Single,0.8378
bert,Recall,English,Multi,0.81
bert,Recall,English,Single,0.82505
roberta,Recall,English,Multi,0.85
roberta,Recall,English,Single,0.8380
flair,Accuracy,English,Multi,0.95
flair,Accuracy,English,Single,0.96115
bert,Accuracy,English,Multi,0.96
bert,Accuracy,English,Single,0.95935
roberta,Accuracy,English,Multi,0.96
roberta,Accuracy,English,Single,0.96155
flair,F1,French,Multi,0.83
flair,F1,French,Single,0.82285
bert,F1,French,Multi,0.84
bert,F1,French,Single,0.8973
roberta,F1,French,Multi,0.85
roberta,F1,French,Single,0.89255
flair,Precision,French,Multi,0.85
flair,Precision,French,Single,0.8674
bert,Precision,French,Multi,0.86
bert,Precision,French,Single,0.9075
roberta,Precision,French,Multi,0.86
roberta,Precision,French,Single,0.91975
flair,Recall,French,Multi,0.8
flair,Recall,French,Single,0.7827
bert,Recall,French,Multi,0.82
bert,Recall,French,Single,0.8874
roberta,Recall,French,Multi,0.84
roberta,Recall,French,Single,0.8669
flair,Accuracy,French,Multi,0.98
flair,Accuracy,French,Single,0.9772
bert,Accuracy,French,Multi,0.98
bert,Accuracy,French,Single,0.9864
roberta,Accuracy,French,Multi,0.98
roberta,Accuracy,French,Single,0.9855
flair,F1,Italian,Multi,0.72
flair,F1,Italian,Single,0.8069
bert,F1,Italian,Multi,0.78
bert,F1,Italian,Single,0.8099
roberta,F1,Italian,Multi,0.79
roberta,F1,Italian,Single,0.79155
flair,Precision,Italian,Multi,0.75
flair,Precision,Italian,Single,0.82195
bert,Precision,Italian,Multi,0.81
bert,Precision,Italian,Single,0.8298
roberta,Precision,Italian,Multi,0.81
roberta,Precision,Italian,Single,0.82775
flair,Recall,Italian,Multi,0.68
flair,Recall,Italian,Single,0.7924
bert,Recall,Italian,Multi,0.75
bert,Recall,Italian,Single,0.79095
roberta,Recall,Italian,Multi,0.76
roberta,Recall,Italian,Single,0.7584
flair,Accuracy,Italian,Multi,0.97
flair,Accuracy,Italian,Single,0.98005
bert,Accuracy,Italian,Multi,0.98
bert,Accuracy,Italian,Single,0.97995
roberta,Accuracy,Italian,Multi,0.98
roberta,Accuracy,Italian,Single,0.97785
flair,F1,Spanish,Multi,0.73
flair,F1,Spanish,Single,0.77415
bert,F1,Spanish,Multi,0.76
bert,F1,Spanish,Single,0.79555
roberta,F1,Spanish,Multi,0.78
roberta,F1,Spanish,Single,0.8007
flair,Precision,Spanish,Multi,0.79
flair,Precision,Spanish,Single,0.8037
bert,Precision,Spanish,Multi,0.79
bert,Precision,Spanish,Single,0.82325
roberta,Precision,Spanish,Multi,0.8
roberta,Precision,Spanish,Single,0.8261
flair,Recall,Spanish,Multi,0.69
flair,Recall,Spanish,Single,0.74675
bert,Recall,Spanish,Multi,0.73
bert,Recall,Spanish,Single,0.76975
roberta,Recall,Spanish,Multi,0.77
roberta,Recall,Spanish,Single,0.7769
flair,Accuracy,Spanish,Multi,0.96
flair,Accuracy,Spanish,Single,0.9694
bert,Accuracy,Spanish,Multi,0.97
bert,Accuracy,Spanish,Single,0.9723
roberta,Accuracy,Spanish,Multi,0.97
roberta,Accuracy,Spanish,Single,0.9725
bert,F1,Chinese,Multi,0.83
bert,F1,Chinese,Single,0.89655
roberta,F1,Chinese,Multi,0.63
roberta,F1,Chinese,Single,0.5587
bert,Precision,Chinese,Multi,0.87
bert,Precision,Chinese,Single,0.9303
roberta,Precision,Chinese,Multi,0.79
roberta,Precision,Chinese,Single,0.8658
bert,Recall,Chinese,Multi,0.8
bert,Recall,Chinese,Single,0.8652
roberta,Recall,Chinese,Multi,0.52
roberta,Recall,Chinese,Single,0.41265
bert,Accuracy,Chinese,Multi,0.97
bert,Accuracy,Chinese,Single,0.9801
roberta,Accuracy,Chinese,Multi,0.94
roberta,Accuracy,Chinese,Single,0.9345
flair,F1,Finnish,Multi,0.78
flair,F1,Finnish,Single,0.8677
bert,F1,Finnish,Multi,0.82
bert,F1,Finnish,Single,0.83885
roberta,F1,Finnish,Multi,0.85
roberta,F1,Finnish,Single,0.841
flair,Precision,Finnish,Multi,0.83
flair,Precision,Finnish,Single,0.8902
bert,Precision,Finnish,Multi,0.85
bert,Precision,Finnish,Single,0.8753
roberta,Precision,Finnish,Multi,0.88
roberta,Precision,Finnish,Single,0.87755
flair,Recall,Finnish,Multi,0.73
flair,Recall,Finnish,Single,0.8463
bert,Recall,Finnish,Multi,0.78
bert,Recall,Finnish,Single,0.8053
roberta,Recall,Finnish,Multi,0.83
roberta,Recall,Finnish,Single,0.8074
flair,Accuracy,Finnish,Multi,0.95
flair,Accuracy,Finnish,Single,0.9727
bert,Accuracy,Finnish,Multi,0.96
bert,Accuracy,Finnish,Single,0.96465
roberta,Accuracy,Finnish,Multi,0.97
roberta,Accuracy,Finnish,Single,0.9663
