,RnnSize,EmbSize,RnnLayer,Epochs,Alpha,Eval,Lang,Result mean,Result std
0,256,200,1,150,0.2,F1,Chinese,0.61,0.0
1,256,200,1,150,0.2,F1,English,0.53,0.0
2,256,200,1,150,0.2,F1,Finnish,0.55,0.01
3,256,200,1,150,0.2,F1,French,0.72,0.0
4,256,200,1,150,0.2,F1,German,0.54,0.01
5,256,200,1,150,0.2,F1,Italian,0.58,0.0
6,256,200,1,150,0.2,F1,Spanish,0.56,0.0
7,256,200,1,150,0.2,Precision,Chinese,0.6,0.01
8,256,200,1,150,0.2,Precision,English,0.59,0.0
9,256,200,1,150,0.2,Precision,Finnish,0.6,0.0
10,256,200,1,150,0.2,Precision,French,0.73,0.0
11,256,200,1,150,0.2,Precision,German,0.54,0.0
12,256,200,1,150,0.2,Precision,Italian,0.6,0.0
13,256,200,1,150,0.2,Precision,Spanish,0.62,0.0
14,256,200,1,150,0.2,Recall,Chinese,0.63,0.0
15,256,200,1,150,0.2,Recall,English,0.53,0.0
16,256,200,1,150,0.2,Recall,Finnish,0.52,0.01
17,256,200,1,150,0.2,Recall,French,0.71,0.01
18,256,200,1,150,0.2,Recall,German,0.53,0.01
19,256,200,1,150,0.2,Recall,Italian,0.57,0.0
20,256,200,1,150,0.2,Recall,Spanish,0.52,0.0
